customer_id,monto_total,monto_promedio,num_transacciones_monto,monto_std,comision_total,total_transacciones
1001.0,811.38,405.69,2,143.2,2.77,2
1002.0,258.99,258.99,1,,1.32,1
1004.0,3466.85,3466.85,1,,1.05,1
1005.0,936.7,936.7,1,,0.65,1
1006.0,1660.28,1660.28,1,,2.62,1
1007.0,624.48,624.48,1,,1.96,1
1009.0,1420.48,473.49,3,310.24,4.37,3
1011.0,57.89,28.95,2,23.77,0.66,2
1013.0,1885.48,1885.48,1,,4.07,1
1016.0,1411.98,705.99,2,902.46,5.85,2
1018.0,1892.43,946.21,2,230.46,1.72,2
1021.0,5398.9,5398.9,1,,0.9,1
1022.0,144.84,144.84,1,,2.13,1
1024.0,4177.95,4177.95,1,,0.54,1
1025.0,414.45,414.45,1,,1.49,1
1038.0,2067.56,1033.78,2,820.7,1.46,2
1040.0,221.72,221.72,1,,4.79,1
1044.0,437.69,437.69,1,,0.65,1
1049.0,3235.53,3235.53,1,,4.24,1
1052.0,802.64,802.64,1,,2.64,1
1053.0,251.41,251.41,1,,1.18,1
1054.0,741.57,741.57,1,,0.37,1
1055.0,340.11,340.11,1,,2.52,1
1060.0,4352.56,4352.56,1,,5.49,1
1062.0,523.6,523.6,1,,0.13,1
1066.0,449.69,449.69,1,,3.92,1
1067.0,136.65,136.65,1,,1.97,1
1071.0,905.57,905.57,1,,2.67,1
1072.0,120.65,120.65,1,,0.87,1
1074.0,1445.88,1445.88,1,,11.57,1
1075.0,11.05,11.05,1,,2.52,1
1077.0,312.94,312.94,1,,1.59,1
1078.0,4460.38,4460.38,1,,3.38,1
1082.0,95.33,95.33,1,,2.54,1
1086.0,8753.98,8753.98,1,,0.0,1
1089.0,2994.64,1497.32,2,1910.23,12.36,2
1090.0,9879.52,9879.52,1,,0.13,1
1094.0,1795.95,1795.95,1,,0.43,1
1097.0,602.27,602.27,1,,2.59,1
1098.0,1564.44,1564.44,1,,0.61,1
1105.0,778.29,389.15,2,36.69,5.06,2
1112.0,118.35,118.35,1,,0.38,1
1115.0,754.45,754.45,1,,0.58,1
1116.0,493.84,493.84,1,,4.23,1
1117.0,1116.36,1116.36,1,,3.68,1
1124.0,430.44,430.44,1,,1.59,1
1125.0,853.53,426.76,2,238.62,2.56,2
1126.0,656.88,328.44,2,434.29,3.47,2
1128.0,186.22,186.22,1,,0.82,1
1129.0,769.03,769.03,1,,1.99,1
1130.0,464.57,464.57,1,,1.0,1
1133.0,652.03,652.03,1,,1.08,1
1136.0,782.79,782.79,1,,3.2,1
1137.0,219.41,219.41,1,,0.31,1
1138.0,63.66,63.66,1,,0.29,1
1139.0,16780.47,16780.47,1,,2.06,1
1140.0,636.67,318.33,2,297.74,1.46,2
1141.0,95.37,95.37,1,,5.29,1
1142.0,5.91,5.91,1,,2.28,1
1143.0,2665.49,2665.49,1,,0.06,1
1145.0,877.53,438.77,2,177.29,1.06,2
1146.0,321.52,321.52,1,,0.44,1
1147.0,922.9,922.9,1,,6.64,1
1148.0,1311.58,1311.58,1,,1.64,1
1152.0,136.0,136.0,1,,0.53,1
1153.0,2736.39,2736.39,1,,1.76,1
1154.0,706.61,706.61,1,,1.4,1
1155.0,350.76,350.76,1,,1.57,1
1158.0,485.18,485.18,1,,0.38,1
1159.0,2271.91,2271.91,1,,0.86,1
1160.0,83.08,83.08,1,,3.53,1
1161.0,7781.2,3890.6,2,5323.54,1.75,2
1162.0,481.2,481.2,1,,0.35,1
1163.0,32.27,32.27,1,,0.07,1
1165.0,13666.3,6833.15,2,8786.99,2.47,2
1166.0,89.27,89.27,1,,0.82,1
1171.0,98.88,98.88,1,,1.76,1
1174.0,215.59,215.59,1,,0.23,1
1182.0,1487.92,743.96,2,819.91,2.4,2
1183.0,157.63,157.63,1,,1.87,1
1186.0,306.94,306.94,1,,0.37,1
1187.0,367.95,367.95,1,,6.94,1
1189.0,182.81,182.81,1,,0.05,1
1190.0,854.2,854.2,1,,2.7,1
1191.0,10942.59,5471.29,2,1521.4,3.0,2
1192.0,1453.81,1453.81,1,,0.93,1
1193.0,418.52,418.52,1,,5.3,1
1194.0,118.75,118.75,1,,1.53,1
1195.0,15719.9,15719.9,1,,0.05,1
1197.0,459.81,459.81,1,,1.15,1
1201.0,3040.75,1520.37,2,2126.87,4.26,2
1202.0,126.38,126.38,1,,0.7,1
1203.0,62.49,62.49,1,,3.2,1
1204.0,365.76,182.88,2,240.89,1.03,2
1205.0,3060.98,3060.98,1,,2.31,1
1206.0,931.72,465.86,2,376.9,2.98,2
1207.0,868.09,434.04,2,579.12,4.47,2
1213.0,465.23,465.23,1,,4.74,1
1215.0,302.47,302.47,1,,3.24,1
1220.0,2001.77,2001.77,1,,0.97,1
1224.0,11494.64,5747.32,2,7528.58,2.04,2
1225.0,75.97,75.97,1,,0.31,1
1226.0,1098.43,366.14,3,81.94,3.76,3
1232.0,582.37,291.19,2,224.97,4.16,2
1234.0,511.76,255.88,2,307.66,2.85,2
1235.0,306.63,306.63,1,,2.15,1
1236.0,117.69,117.69,1,,2.83,1
1238.0,280.4,280.4,1,,0.25,1
1241.0,3732.7,3732.7,1,,2.2,1
1242.0,329.89,329.89,1,,0.21,1
1244.0,820.22,820.22,1,,0.21,1
1249.0,8425.72,2808.57,3,4616.29,0.51,3
1255.0,918.78,918.78,1,,2.23,1
1258.0,767.82,767.82,1,,4.18,1
1260.0,1980.69,1980.69,1,,1.92,1
1262.0,651.13,325.56,2,215.25,3.09,2
1264.0,172.78,86.39,2,25.22,0.87,2
1269.0,542.22,271.11,2,325.5,5.36,2
1270.0,586.38,293.19,2,207.53,6.21,2
1271.0,1670.32,835.16,2,147.24,1.96,2
1272.0,260.67,260.67,1,,5.27,1
1276.0,231.23,231.23,1,,3.2,1
1277.0,2036.87,678.96,3,955.33,9.07,3
1278.0,90.53,90.53,1,,8.47,1
1279.0,1124.88,1124.88,1,,0.42,1
1281.0,13.42,13.42,1,,4.21,1
1282.0,336.1,336.1,1,,0.07,1
1285.0,11130.86,5565.43,2,7405.18,5.09,2
1287.0,281.66,281.66,1,,0.1,1
1289.0,19.38,19.38,1,,2.9,1
1294.0,10865.8,5432.9,2,2192.31,1.6,2
1297.0,1966.57,1966.57,1,,0.16,1
1298.0,6544.54,6544.54,1,,5.15,1
1301.0,4330.3,2165.15,2,2686.75,1.53,2
1302.0,1874.81,937.41,2,1172.85,5.27,2
1305.0,369.48,369.48,1,,0.16,1
1306.0,1532.7,1532.7,1,,2.07,1
1307.0,173.04,86.52,2,69.37,2.95,2
1310.0,350.45,350.45,1,,0.17,1
1314.0,46.06,46.06,1,,6.67,1
1317.0,1091.07,1091.07,1,,0.38,1
1320.0,119.16,119.16,1,,0.11,1
1325.0,1873.48,1873.48,1,,0.1,1
1329.0,777.64,777.64,1,,0.7,1
1331.0,59.75,59.75,1,,2.55,1
1336.0,164.82,164.82,1,,1.65,1
1338.0,478.19,478.19,1,,3.91,1
1340.0,1260.87,420.29,3,383.51,7.89,3
1341.0,143.08,143.08,1,,2.15,1
1342.0,52.15,52.15,1,,3.08,1
1345.0,1056.61,1056.61,1,,0.47,1
1348.0,80.22,80.22,1,,0.94,1
1352.0,402.07,402.07,1,,0.55,1
1358.0,410.59,410.59,1,,3.89,1
1359.0,380.93,380.93,1,,5.56,1
1362.0,26.12,26.12,1,,1.84,1
1364.0,580.53,290.26,2,143.44,5.35,2
1365.0,5910.53,2955.27,2,2448.8,4.89,2
1369.0,683.99,683.99,1,,1.94,1
1370.0,985.34,985.34,1,,0.19,1
1371.0,2767.25,2767.25,1,,1.68,1
1374.0,2561.39,2561.39,1,,4.39,1
1383.0,753.7,753.7,1,,0.61,1
1384.0,79.04,79.04,1,,2.44,1
1386.0,1759.91,1759.91,1,,2.11,1
1389.0,162.23,162.23,1,,2.97,1
1390.0,1604.16,802.08,2,911.57,2.35,2
1391.0,24.42,24.42,1,,6.47,1
1392.0,2153.26,1076.63,2,1140.34,5.99,2
1395.0,724.09,724.09,1,,2.26,1
1404.0,1749.99,874.99,2,1058.02,2.22,2
1405.0,19.08,19.08,1,,3.5,1
1406.0,1903.66,634.55,3,571.42,3.82,3
1412.0,23.53,23.53,1,,1.62,1
1417.0,1733.5,1733.5,1,,2.2,1
1419.0,82.88,41.44,2,15.77,3.67,2
1421.0,941.33,941.33,1,,0.51,1
1422.0,781.51,781.51,1,,1.06,1
1423.0,28.88,28.88,1,,0.77,1
1441.0,83.68,41.84,2,12.13,3.09,2
1442.0,90.73,90.73,1,,2.55,1
1446.0,922.56,922.56,1,,0.16,1
1448.0,317.67,317.67,1,,0.91,1
1451.0,3134.17,3134.17,1,,2.33,1
1454.0,94.73,94.73,1,,0.89,1
1458.0,176.35,176.35,1,,0.44,1
1459.0,54.61,54.61,1,,2.19,1
1464.0,776.44,388.22,2,114.57,3.01,2
1466.0,2207.0,2207.0,1,,1.36,1
1475.0,1024.3,512.15,2,184.11,4.7,2
1478.0,44.74,44.74,1,,1.85,1
1481.0,304.68,304.68,1,,1.58,1
1488.0,1996.09,1996.09,1,,0.96,1
1489.0,389.71,194.86,2,113.99,6.6,2
1490.0,709.45,709.45,1,,1.38,1
1492.0,62.21,62.21,1,,1.36,1
1494.0,241.71,241.71,1,,2.53,1
1497.0,971.38,971.38,1,,1.11,1
1502.0,558.98,558.98,1,,1.31,1
1504.0,237.89,118.94,2,53.26,9.16,2
1506.0,900.96,900.96,1,,2.23,1
1507.0,245.9,245.9,1,,0.24,1
1508.0,232.63,232.63,1,,6.64,1
1512.0,1298.15,1298.15,1,,0.27,1
1514.0,566.69,283.35,2,199.8,0.81,2
1515.0,403.35,403.35,1,,0.89,1
1517.0,820.1,820.1,1,,0.01,1
1521.0,246.79,246.79,1,,1.55,1
1522.0,41977.26,41977.26,1,,0.69,1
1523.0,927.0,927.0,1,,6.59,1
1525.0,292.91,292.91,1,,0.06,1
1526.0,1753.26,876.63,2,1118.06,5.97,2
1529.0,3910.64,1955.32,2,2130.19,1.63,2
1531.0,531.05,531.05,1,,4.34,1
1536.0,279.27,139.63,2,51.34,1.7,2
1537.0,2835.03,2835.03,1,,0.81,1
1539.0,236.72,118.36,2,5.02,2.69,2
1541.0,3339.48,3339.48,1,,4.45,1
1545.0,668.07,668.07,1,,3.04,1
1552.0,4472.93,4472.93,1,,3.97,1
1556.0,16350.2,8175.1,2,10155.44,1.13,2
1557.0,170.91,170.91,1,,6.82,1
1559.0,34.56,34.56,1,,0.94,1
1569.0,806.93,806.93,1,,1.95,1
1570.0,347.47,347.47,1,,3.83,1
1571.0,1210.0,605.0,2,4.07,2.81,2
1572.0,1176.92,588.46,2,726.13,5.43,2
1574.0,787.12,393.56,2,244.54,4.0,2
1575.0,455.11,455.11,1,,1.87,1
1580.0,2173.19,1086.6,2,572.72,5.57,2
1581.0,405.37,405.37,1,,4.36,1
1583.0,342.78,342.78,1,,5.93,1
1584.0,817.54,817.54,1,,0.71,1
1587.0,856.93,856.93,1,,0.16,1
1588.0,1250.48,1250.48,1,,0.53,1
1589.0,1112.27,1112.27,1,,1.56,1
1593.0,665.41,332.7,2,296.6,6.9,2
1596.0,362.87,362.87,1,,0.09,1
1597.0,42.83,42.83,1,,1.74,1
1599.0,6647.85,6647.85,1,,3.22,1
1600.0,2943.95,2943.95,1,,1.65,1
1602.0,214.55,214.55,1,,1.58,1
1606.0,231.27,231.27,1,,0.16,1
1607.0,2342.67,2342.67,1,,0.36,1
1609.0,95.86,95.86,1,,1.39,1
1610.0,62.2,62.2,1,,0.63,1
1612.0,94.81,94.81,1,,9.02,1
1614.0,9507.73,4753.87,2,2605.96,6.3,2
1615.0,4747.93,1582.64,3,1451.7,7.23,3
1619.0,634.14,317.07,2,101.27,2.43,2
1622.0,466.21,466.21,1,,0.7,1
1626.0,2563.41,2563.41,1,,2.11,1
1627.0,59.75,59.75,1,,5.41,1
1628.0,82.61,82.61,1,,0.32,1
1629.0,236.36,236.36,1,,4.72,1
1630.0,909.23,454.62,2,402.82,0.75,2
1631.0,369.3,369.3,1,,1.94,1
1632.0,246.33,246.33,1,,6.88,1
1634.0,338.49,169.25,2,55.01,8.39,2
1635.0,445.27,445.27,1,,1.46,1
1638.0,92.07,92.07,1,,3.62,1
1643.0,2580.47,2580.47,1,,3.08,1
1644.0,121.29,121.29,1,,1.05,1
1645.0,625.8,312.9,2,96.31,3.73,2
1646.0,192.61,192.61,1,,0.72,1
1649.0,643.6,643.6,1,,3.74,1
1650.0,97.0,97.0,1,,4.7,1
1658.0,43.34,43.34,1,,0.63,1
1659.0,1176.84,588.42,2,242.03,2.09,2
1660.0,1561.34,780.67,2,399.69,2.41,2
1661.0,1035.73,345.24,3,152.65,4.35,3
1662.0,4173.54,4173.54,1,,5.43,1
1663.0,361.19,180.6,2,170.06,1.81,2
1666.0,133.57,133.57,1,,0.64,1
1667.0,112.6,112.6,1,,1.25,1
1669.0,203.42,203.42,1,,0.29,1
1670.0,109.96,109.96,1,,1.19,1
1671.0,2219.1,739.7,3,621.53,4.05,3
1674.0,2287.48,2287.48,1,,0.01,1
1679.0,315.97,315.97,1,,0.53,1
1680.0,2136.06,2136.06,1,,0.51,1
1681.0,194.25,194.25,1,,2.82,1
1685.0,240.33,120.17,2,46.02,4.96,2
1686.0,32.3,32.3,1,,0.14,1
1687.0,1691.89,845.94,2,604.94,2.73,2
1688.0,153.34,153.34,1,,0.09,1
1689.0,5861.31,1953.77,3,2338.61,1.02,3
1690.0,461.77,461.77,1,,1.21,1
1691.0,1497.21,1497.21,1,,1.81,1
1692.0,1230.63,615.31,2,861.89,3.86,2
1695.0,2471.08,2471.08,1,,4.24,1
1697.0,1475.26,1475.26,1,,0.13,1
1698.0,3981.85,1327.28,3,2205.85,6.73,3
1699.0,1525.16,762.58,2,918.89,4.01,2
1703.0,3530.69,1765.34,2,1360.52,0.99,2
1707.0,2575.8,2575.8,1,,0.52,1
1716.0,83.79,83.79,1,,0.17,1
1717.0,5004.12,1668.04,3,2295.03,9.07,3
1719.0,4210.9,2105.45,2,1969.29,1.86,2
1721.0,231.42,231.42,1,,3.35,1
1725.0,35.64,35.64,1,,1.19,1
1726.0,5536.42,2768.21,2,2762.72,3.46,2
1727.0,353.99,353.99,1,,2.02,1
1728.0,5149.77,2574.89,2,672.53,0.88,2
1746.0,467.68,467.68,1,,0.35,1
1757.0,118.28,118.28,1,,0.94,1
1760.0,2365.85,2365.85,1,,2.53,1
1767.0,110.96,110.96,1,,0.36,1
1768.0,15.44,15.44,1,,0.46,1
1769.0,1149.38,383.13,3,211.32,5.89,3
1770.0,553.22,276.61,2,189.41,4.94,2
1771.0,5034.01,5034.01,1,,0.84,1
1775.0,395.63,197.81,2,52.11,7.05,2
1776.0,424.51,424.51,1,,12.68,1
1778.0,3053.38,1526.69,2,1480.87,4.77,2
1780.0,951.71,951.71,1,,2.47,1
1781.0,3394.01,3394.01,1,,3.12,1
1784.0,2757.49,2757.49,1,,1.69,1
1785.0,1311.63,1311.63,1,,0.89,1
1787.0,470.4,470.4,1,,4.08,1
1791.0,129.28,129.28,1,,0.6,1
1793.0,959.37,959.37,1,,3.12,1
1802.0,476.56,476.56,1,,1.02,1
1804.0,2964.02,2964.02,1,,0.61,1
1806.0,481.78,481.78,1,,0.41,1
1807.0,2378.78,2378.78,1,,4.7,1
1808.0,1470.84,1470.84,1,,1.01,1
1813.0,88.88,88.88,1,,0.05,1
1814.0,333.37,333.37,1,,3.89,1
1816.0,682.81,341.41,2,406.87,4.77,2
1822.0,358.71,358.71,1,,1.95,1
1823.0,225.94,225.94,1,,3.97,1
1824.0,296.01,148.01,2,2.36,1.05,2
1825.0,361.6,361.6,1,,5.45,1
1827.0,1466.3,1466.3,1,,0.09,1
1830.0,484.17,242.08,2,188.29,4.31,2
1832.0,713.93,713.93,1,,0.19,1
1844.0,638.14,638.14,1,,0.21,1
1845.0,1166.21,1166.21,1,,2.1,1
1846.0,302.11,302.11,1,,1.03,1
1851.0,3794.14,3794.14,1,,0.27,1
1853.0,2006.06,2006.06,1,,1.0,1
1854.0,2274.17,2274.17,1,,2.43,1
1855.0,79.9,79.9,1,,7.46,1
1857.0,1965.16,982.58,2,1320.32,1.31,2
1859.0,2475.14,2475.14,1,,1.41,1
1860.0,1361.54,1361.54,1,,0.04,1
1861.0,305.55,305.55,1,,3.9,1
1863.0,2121.11,2121.11,1,,1.72,1
1864.0,478.83,478.83,1,,0.76,1
1867.0,213.43,213.43,1,,1.26,1
1869.0,297.56,297.56,1,,3.54,1
1870.0,322.9,322.9,1,,1.81,1
1874.0,80.9,80.9,1,,2.76,1
1876.0,3527.53,1763.77,2,2195.0,2.72,2
1878.0,1677.12,1677.12,1,,3.11,1
1882.0,1372.98,457.66,3,325.74,7.7,3
1886.0,243.01,121.5,2,52.82,10.22,2
1887.0,1221.52,1221.52,1,,11.07,1
1890.0,5782.29,5782.29,1,,3.02,1
1891.0,633.88,633.88,1,,0.22,1
1892.0,98.09,98.09,1,,0.54,1
1894.0,403.14,403.14,1,,0.25,1
1896.0,1255.09,1255.09,1,,2.8,1
1897.0,184.08,184.08,1,,0.58,1
1899.0,128.97,128.97,1,,3.46,1
1901.0,176.57,176.57,1,,1.66,1
1905.0,835.99,835.99,1,,4.15,1
1910.0,604.43,302.22,2,203.9,1.65,2
1913.0,464.14,464.14,1,,4.37,1
1917.0,2802.9,1401.45,2,283.86,4.88,2
1918.0,3579.94,3579.94,1,,3.88,1
1919.0,1783.15,891.57,2,1100.19,1.87,2
1920.0,27521.73,9173.91,3,12207.1,4.88,3
1922.0,2749.75,1374.87,2,23.48,3.87,2
1923.0,140.53,70.27,2,25.87,1.62,2
1924.0,319.23,159.61,2,22.38,2.29,2
1926.0,469.65,469.65,1,,0.6,1
1928.0,119.05,119.05,1,,6.06,1
1929.0,981.52,490.76,2,561.71,3.82,2
1931.0,396.46,396.46,1,,1.9,1
1933.0,1537.17,768.58,2,376.71,5.3,2
1935.0,858.21,429.1,2,200.77,13.67,2
1936.0,275.99,275.99,1,,0.13,1
1941.0,54.46,54.46,1,,0.05,1
1943.0,186.2,186.2,1,,1.76,1
1946.0,2913.26,1456.63,2,1951.18,5.78,2
1948.0,867.85,867.85,1,,0.09,1
1950.0,264.84,264.84,1,,0.14,1
1951.0,28.3,28.3,1,,0.38,1
1953.0,556.9,556.9,1,,2.22,1
1954.0,18129.29,9064.64,2,12306.03,5.26,2
1955.0,415.27,415.27,1,,2.73,1
1956.0,1641.52,547.17,3,771.32,7.29,3
1959.0,57.36,57.36,1,,1.73,1
1961.0,188.38,188.38,1,,1.84,1
1963.0,279.64,139.82,2,130.75,7.76,2
1966.0,243.52,243.52,1,,3.22,1
1968.0,62.53,62.53,1,,1.95,1
1969.0,121.72,121.72,1,,1.37,1
1972.0,11415.07,5707.54,2,5237.41,11.26,2
1974.0,465.25,232.62,2,147.22,0.73,2
1975.0,320.94,320.94,1,,3.79,1
1980.0,853.49,853.49,1,,3.69,1
1984.0,1330.77,665.38,2,432.14,2.79,2
1985.0,1675.53,1675.53,1,,0.59,1
1986.0,1320.82,1320.82,1,,1.11,1
1987.0,1735.49,578.5,3,385.64,3.02,3
1988.0,189.66,189.66,1,,0.48,1
1989.0,508.76,508.76,1,,1.68,1
1990.0,1217.24,1217.24,1,,2.0,1
1991.0,358.93,358.93,1,,0.22,1
1992.0,438.26,438.26,1,,3.21,1
1995.0,662.43,662.43,1,,0.34,1
1999.0,766.26,766.26,1,,3.13,1
2000.0,453.42,453.42,1,,0.63,1
2001.0,3505.91,1752.96,2,1660.69,3.61,2
2003.0,927.46,927.46,1,,1.54,1
2007.0,551.08,551.08,1,,0.27,1
2008.0,2488.6,2488.6,1,,2.25,1
2012.0,886.63,443.31,2,365.49,2.81,2
2013.0,458.32,458.32,1,,0.3,1
2014.0,371.62,371.62,1,,4.75,1
2015.0,495.24,165.08,3,185.23,10.44,3
2016.0,1038.48,519.24,2,26.86,3.33,2
2019.0,594.25,594.25,1,,0.6,1
2021.0,1062.84,1062.84,1,,0.5,1
2028.0,301.27,301.27,1,,0.41,1
2029.0,520.62,520.62,1,,1.18,1
2032.0,159.27,159.27,1,,0.82,1
2036.0,21.49,21.49,1,,1.38,1
2037.0,136.97,136.97,1,,0.15,1
2040.0,107.48,107.48,1,,2.56,1
2045.0,1079.89,1079.89,1,,0.33,1
2048.0,11746.07,5873.04,2,8235.26,1.02,2
2050.0,292.76,292.76,1,,4.89,1
2051.0,2426.49,2426.49,1,,0.52,1
2054.0,570.94,570.94,1,,3.97,1
2058.0,970.0,485.0,2,289.44,5.42,2
2059.0,179.03,179.03,1,,0.92,1
2060.0,653.59,653.59,1,,1.41,1
2062.0,354.08,177.04,2,26.14,4.29,2
2063.0,1017.26,1017.26,1,,4.11,1
2065.0,93.83,93.83,1,,5.05,1
2066.0,38.26,38.26,1,,1.89,1
2069.0,60.29,60.29,1,,1.07,1
2072.0,6765.82,3382.91,2,2214.46,4.11,2
2073.0,2095.67,1047.83,2,656.48,3.35,2
2077.0,1430.37,1430.37,1,,1.89,1
2079.0,1289.41,1289.41,1,,2.61,1
2080.0,641.57,641.57,1,,1.5,1
2081.0,308.14,308.14,1,,4.84,1
2088.0,2574.02,2574.02,1,,6.34,1
2089.0,326.93,326.93,1,,0.43,1
2093.0,216.05,216.05,1,,3.19,1
2094.0,2882.82,1441.41,2,1264.56,8.43,2
2096.0,583.58,583.58,1,,1.34,1
2098.0,3304.99,1101.66,3,941.63,4.97,3
2100.0,243.34,243.34,1,,2.38,1
2102.0,1574.94,1574.94,1,,0.51,1
2104.0,943.8,943.8,1,,1.41,1
2105.0,1638.39,1638.39,1,,0.14,1
2106.0,1802.85,1802.85,1,,2.06,1
2116.0,310.42,310.42,1,,3.62,1
2117.0,3234.95,3234.95,1,,2.75,1
2120.0,265.03,265.03,1,,2.19,1
