id_cliente,nombre_cliente,edad,genero,segmento,score,saldo,limite,pais,activo,fecha_registro,segmento_numerico,genero_numerico,saldo_normalizado,antiguedad_dias,ratio_saldo_limite
1000,Cliente_0,41,M,silver,444,399.5768248886568,6392.338926963324,Colombia,True,2020-01-01 00:00:00,2,1,0.0034200975751830414,2003,0.0625
1001,Cliente_1,42,M,gold,809,3456.013855393625,8473.849447408882,Mexico,True,2020-01-01 12:00:00,3,1,0.03361844187464825,2002,0.4078
1002,Cliente_2,59,M,basic,720,5548.224685128489,21785.149574381667,Peru,True,2020-01-02 00:00:00,1,1,0.0542899958287517,2002,0.2547
1003,Cliente_3,33,M,basic,384,2494.093302987341,5391.987380065684,Peru,True,2020-01-02 12:00:00,1,1,0.02411443189820273,2001,0.4626
1004,Cliente_4,54,F,basic,327,3909.963418284838,4989.71812612682,Mexico,True,2020-01-03 00:00:00,1,2,0.03810357441883671,2001,0.7836
1005,Cliente_5,44,M,premium,474,7257.990601173714,10463.617104119388,Mexico,False,2020-01-03 12:00:00,4,1,0.07118290063552726,2000,0.6936
1006,Cliente_6,54,F,silver,536,569.7337862300083,6986.6361091108965,Colombia,True,2020-01-04 00:00:00,2,2,0.0051012899086917,2000,0.0815
1007,Cliente_7,51,F,basic,409,4680.402648355438,25086.161386694104,Chile,True,2020-01-04 12:00:00,1,2,0.04571570216734883,1999,0.1866
1008,Cliente_8,30,M,silver,785,12236.369918153556,14182.476617021814,Chile,True,2020-01-05 00:00:00,2,1,0.12037050409898076,1999,0.8628
1009,Cliente_9,44,M,gold,687,1760.848965335821,8473.849447408882,Mexico,True,2020-01-05 12:00:00,3,1,0.016869798770467195,1998,0.2078
1010,Cliente_10,29,F,basic,488,1379.846992233179,17261.585718312366,Chile,False,2020-01-06 00:00:00,1,2,0.01310540622853144,1998,0.0799
1011,Cliente_11,39,M,gold,573,1374.8378217418417,4792.778838265401,Chile,True,2020-01-06 12:00:00,3,1,0.013055914400745565,1997,0.2869
1012,Cliente_12,66,F,premium,807,4213.356988564192,8866.97599761872,Chile,True,2020-01-07 00:00:00,4,2,0.04110117698748058,1997,0.4752
1013,Cliente_13,33,M,silver,544,16277.317557697826,13930.909535973033,Chile,False,2020-01-07 12:00:00,2,1,0.16029605365133257,1996,1.1684
1014,Cliente_14,30,F,gold,812,35778.711502607555,8132.803057063455,Chile,True,2020-01-08 00:00:00,3,2,0.3529745884257242,1996,4.3993
1015,Cliente_15,37,M,gold,334,19603.61559180801,3953.838266723773,Mexico,True,2020-01-08 12:00:00,3,1,0.19316069057143231,1995,4.9581
1016,Cliente_16,50,F,silver,560,1968.3762964409168,17029.865342136654,Argentina,True,2020-01-09 00:00:00,2,2,0.018920219483772517,1995,0.1156
1017,Cliente_17,50,M,silver,561,1061.7540345277023,7047.033997732364,Mexico,True,2020-01-09 12:00:00,2,1,0.009962570122257012,1994,0.1507
1018,Cliente_18,45,M,basic,359,469.1841887529955,10319.209525946117,Peru,True,2020-01-10 00:00:00,1,1,0.004107835329559799,1994,0.0455
1019,Cliente_19,28,M,basic,399,5091.534731041871,12910.797977442611,Mexico,True,2020-01-10 12:00:00,1,1,0.04977778755029876,1993,0.3944
1020,Cliente_20,36,M,basic,535,101265.49475146124,27177.27863682941,Chile,True,2020-01-11 00:00:00,1,1,1.0,1993,3.7261
1021,Cliente_21,61,M,silver,554,3818.2874400909736,9541.024275616064,Peru,True,2020-01-11 12:00:00,2,1,0.037197793365323174,1992,0.4002
