id_transaccion,id_cliente,fecha,tipo,importe,moneda,estado,canal,pais,comision,año,mes,trimestre,dia_semana,monto_estandarizado,categoria_monto,es_fin_semana,dias_desde_anterior,rentabilidad
TXN_001455,1001.0,2023-02-08,pago,304.4319530842619,CLP,completada,web,Chile,1.3853540423837178,2023,2,1,2,-0.2964765012473445,pequeña,False,,0.004550619697927287
TXN_001540,1001.0,2024-09-20,pago,506.9457843798314,EUR,completada,web,Mexico,1.3853540423837178,2024,9,3,4,-0.23279311267971048,pequeña,False,590.0,0.002732745956411258
TXN_003622,1002.0,2023-12-12,deposito,258.9872361338864,MXN,completada,web,Chile,1.323722647458773,2023,12,4,1,-0.3107672464738915,pequeña,False,,0.005111150137045594
TXN_000345,1004.0,2024-07-22,pago,3466.849396481422,USD,completada,web,Chile,1.0485088602895336,2024,7,3,0,0.6979911732444328,mediana,False,,0.00030243853723605277
TXN_000787,1005.0,2024-08-18,transferencia,936.6973263262768,CLP,completada,app_movil,Mexico,0.648628120097523,2024,8,3,6,-0.09765155588711973,pequeña,True,,0.0006924628712686093
TXN_002621,1006.0,2024-01-17,retiro,1660.275450299183,CLP,completada,web,Colombia,2.615552438267951,2024,1,1,2,0.12988799799526418,mediana,False,,0.0015753725912146844
TXN_002295,1007.0,2024-07-13,deposito,624.4838687299546,USD,completada,app_movil,Colombia,1.9641851862683888,2024,7,3,5,-0.19583157059995232,pequeña,True,,0.003145293713131541
TXN_000595,1009.0,2023-03-09,transferencia,115.32510433873864,USD,completada,web,Colombia,0.2455198272794434,2023,3,1,3,-0.3559438712161898,pequeña,False,,0.002128936528496782
TXN_001729,1009.0,2023-06-25,pago,658.7646221087558,EUR,completada,web,Mexico,0.5096491249741009,2023,6,2,6,-0.18505149437578977,pequeña,True,108.0,0.0007736437384003336
TXN_000812,1009.0,2023-11-06,deposito,646.3887692174615,USD,completada,app_movil,Peru,3.616133108620448,2023,11,4,0,-0.18894325941470155,pequeña,False,134.0,0.005594362527366081
TXN_004457,1011.0,2024-02-24,transferencia,12.134705518908138,USD,completada,web,Chile,0.0441791704389615,2024,2,1,5,-0.38839357710764194,micro,True,,0.003640728682712745
TXN_001680,1011.0,2024-06-30,deposito,45.75696498758168,EUR,completada,app_movil,Chile,0.6207816959893347,2024,6,2,6,-0.3778205737697105,micro,True,127.0,0.013566933387251826
TXN_001546,1013.0,2024-03-23,retiro,1885.4814970915488,MXN,completada,app_movil,Peru,4.069412406664371,2024,3,1,5,0.20070728028283785,mediana,True,,0.0021582881682698277
TXN_004354,1016.0,2023-04-05,inversion,1344.125865772709,USD,completada,cajero,Argentina,5.129758645759912,2023,4,2,2,0.030470211525605074,mediana,False,,0.003816427297759741
TXN_001962,1016.0,2023-07-05,transferencia,67.85838729462776,USD,fallida,app_movil,Chile,0.7190225280162763,2023,7,3,2,-0.37087046347021807,micro,False,91.0,0.010595927145960925
TXN_003317,1018.0,2023-04-22,retiro,783.251021649025,EUR,completada,app_movil,Chile,0.6753857610595297,2023,4,2,5,-0.14590495459333822,pequeña,True,,0.0008622851964337051
TXN_003553,1018.0,2024-08-28,transferencia,1109.1757630197196,CLP,completada,web,Mexico,1.04229574133033,2024,8,3,2,-0.04341322938261845,mediana,False,494.0,0.0009397029542844413
TXN_001487,1021.0,2023-02-20,pago,5398.904270363628,EUR,completada,sucursal,Chile,0.8990806237224329,2023,2,1,0,1.3055536319678307,mediana,False,,0.00016653020292613523
TXN_002071,1022.0,2024-06-22,pago,144.8353153171794,USD,completada,cajero,Peru,2.13147070169478,2024,6,2,5,-0.34666396070128747,pequeña,True,,0.014716512316260748
TXN_002785,1024.0,2023-08-08,retiro,4177.950180591106,USD,completada,app_movil,Colombia,0.5389513109125745,2023,8,3,1,0.921607048049113,mediana,False,,0.0001289989797906883
TXN_003012,1025.0,2023-05-29,pago,414.4510495906368,CLP,completada,cajero,Chile,1.4945880719558526,2023,5,2,0,-0.26187941309858664,pequeña,False,,0.0036061872045735992
TXN_002043,1038.0,2023-08-19,transferencia,1614.1052414105118,USD,completada,cajero,Chile,0.7923444913509983,2023,8,3,5,0.11536911138837987,mediana,True,,0.0004908877507011843
TXN_001372,1038.0,2024-08-09,retiro,453.4594930496056,EUR,completada,cajero,Chile,0.6638411232599376,2024,8,3,4,-0.24961264669392358,pequeña,False,356.0,0.001463948011751774
TXN_002444,1040.0,2024-04-03,transferencia,221.71531434846244,EUR,completada,app_movil,Mexico,4.786001704701124,2024,4,2,2,-0.32248793864853775,pequeña,False,,0.021586247746419207
TXN_004391,1044.0,2023-06-22,pago,437.689800402728,EUR,completada,app_movil,Argentina,0.6460479176312106,2023,6,2,3,-0.2545716534837242,pequeña,False,,0.001476040604640016
TXN_003314,1049.0,2024-04-26,inversion,3235.531130392424,USD,completada,web,Chile,4.237720644330854,2024,4,2,4,0.6252498156398902,mediana,False,,0.0013097449764969125
TXN_003951,1052.0,2023-05-28,pago,802.6354941514838,EUR,completada,web,Chile,2.637751594112297,2023,5,2,6,-0.13980922825872064,pequeña,True,,0.0032863630045427148
TXN_003667,1053.0,2023-09-10,pago,251.40940823418072,USD,completada,app_movil,Argentina,1.1779295796682712,2023,9,3,6,-0.31315020350723743,pequeña,True,,0.004685304292873014
TXN_001006,1054.0,2024-12-08,retiro,741.5743305444274,CLP,completada,app_movil,Chile,0.3740315714579245,2024,12,4,6,-0.15901078986813313,pequeña,True,,0.0005043750249328734
TXN_000725,1055.0,2023-09-10,transferencia,340.1078732447989,USD,completada,cajero,Chile,2.5165092904434454,2023,9,3,6,-0.285257694751232,pequeña,True,,0.007399150353194386
TXN_003497,1060.0,2024-12-31,retiro,4352.55696593106,USD,completada,app_movil,Chile,5.49182655422554,2024,12,4,1,0.9765146644139467,mediana,False,,0.0012617471976155462
TXN_003468,1062.0,2023-02-02,transferencia,523.6037981199634,USD,completada,app_movil,Chile,0.1285309120356154,2023,2,1,3,-0.2275547605385695,pequeña,False,,0.0002454736052280651
TXN_004995,1066.0,2023-02-01,inversion,449.6921661348953,CLP,completada,app_movil,Colombia,3.921813861993416,2023,2,1,2,-0.2507973368567433,pequeña,False,,0.008721107809596531
TXN_003750,1067.0,2023-05-29,transferencia,136.65442843402192,USD,completada,app_movil,Chile,1.9690138618423167,2023,5,2,0,-0.34923655831042366,pequeña,False,,0.014408708772968713
TXN_004193,1071.0,2023-04-30,transferencia,905.567885892631,CLP,completada,web,Mexico,2.673652582645172,2023,4,2,6,-0.10744065640606414,pequeña,True,,0.0029524595828723708
TXN_001773,1072.0,2023-03-23,retiro,120.64740452672582,USD,completada,app_movil,Colombia,0.8654167075060283,2023,3,1,3,-0.354270197330427,pequeña,False,,0.007173106714569406
TXN_001075,1074.0,2024-08-31,transferencia,1445.8808762569884,USD,completada,sucursal,Chile,11.565002164690446,2024,8,3,5,0.062468538898693526,mediana,True,,0.007998585744234508
TXN_004341,1075.0,2024-11-19,deposito,11.053591050603734,CLP,completada,web,Chile,2.52307205895252,2024,11,4,1,-0.3887335491101993,micro,False,,0.22825813325296787
TXN_000846,1077.0,2023-11-25,inversion,312.9385089863758,MXN,pendiente,web,Colombia,1.594938503128322,2023,11,4,5,-0.2938014923285908,pequeña,True,,0.0050966514421456515
TXN_001982,1078.0,2023-05-09,transferencia,4460.378834689097,USD,completada,web,Peru,3.3793625973251227,2023,5,2,1,1.0104208026775838,mediana,False,,0.0007576402638814592
TXN_003387,1082.0,2024-10-12,transferencia,95.33112607651871,EUR,completada,app_movil,Colombia,2.535483973929077,2024,10,4,5,-0.3622312654081816,micro,True,,0.0265966015327873
TXN_003513,1086.0,2023-11-25,transferencia,8753.984053531432,USD,completada,app_movil,Colombia,0.0027876308574367,2023,11,4,5,2.360606751747324,mediana,True,,3.184413908444516e-07
TXN_004360,1089.0,2023-02-07,transferencia,146.58320429317868,EUR,completada,cajero,Colombia,10.791965580185906,2023,2,1,1,-0.3461143118594305,pequeña,False,,0.0736234797992345
TXN_001463,1089.0,2023-07-22,pago,2848.057986972067,CLP,completada,sucursal,Chile,1.5669903790122948,2023,7,3,5,0.5034033096797759,mediana,True,165.0,0.0005501960936821556
TXN_004124,1090.0,2024-08-23,transferencia,9879.52477822885,USD,completada,web,Mexico,0.126617562931144,2024,8,3,4,2.714549229952615,mediana,False,,1.2816159255976213e-05
TXN_000899,1094.0,2023-07-16,pago,1795.9511290785758,USD,completada,app_movil,Peru,0.433577972956838,2023,7,3,6,0.17255316765607145,mediana,True,,0.00024141969452102404
