transaccion_id,cliente_id,monto,categoria,fecha,categoria_nombre,mes,margen_beneficio,proveedor_principal,precio_promedio_mercado,participacion_mercado,crecimiento_anual,competidores_principales,rating_promedio,beneficio,año,trimestre,dia_semana,es_fin_semana,beneficio_calculado,categoria_rentabilidad,tipo_compra,nombre_dia,monto_normalizado,valor_cliente,categoria_ingreso,fidelidad
1,1,76.23267003186334,1,2024-12-08,Electrónicos,12,0.25,TechCorp,299.99,0.15,0.08,8,4.2,19.05816750796584,2024,4,6,True,19.058167507965837,Baja,Pequeña,Domingo,0.2620152762106068,Medio_Valor,Alto,Neutral
2,1,14.592892595056131,4,2024-12-01,Deportes,12,0.35,SportPro,119.99,0.12,0.15,10,4.3,5.1075124082696455,2024,4,6,True,5.1075124082696455,Baja,Micro,Domingo,0.0428517785692612,Medio_Valor,Alto,Neutral
3,1,35.498715218508856,1,2024-01-04,Electrónicos,1,0.25,TechCorp,299.99,0.15,0.08,8,4.2,8.874678804627214,2024,1,3,False,8.874678804627214,Baja,Micro,Jueves,0.1171835396130564,Medio_Valor,Alto,Neutral
4,1,131.403765181645,1,2024-10-16,Electrónicos,10,0.25,TechCorp,299.99,0.15,0.08,8,4.2,32.85094129541125,2024,4,2,False,32.85094129541125,Media,Pequeña,Miércoles,0.4581790309244482,Medio_Valor,Alto,Neutral
5,1,96.11297367402162,1,2024-09-03,Electrónicos,9,0.25,TechCorp,299.99,0.15,0.08,8,4.2,24.028243418505404,2024,3,1,False,24.028243418505404,Baja,Pequeña,Martes,0.3327007501296877,Medio_Valor,Alto,Neutral
6,1,61.97737536009489,3,2024-01-05,Hogar y Jardín,1,0.3,HomeMax,149.99,0.18,0.06,15,4.1,18.593212608028463,2024,1,4,False,18.593212608028463,Baja,Pequeña,Viernes,0.2113298199988973,Medio_Valor,Alto,Neutral
7,2,87.98143258372606,3,2024-08-13,Hogar y Jardín,8,0.3,HomeMax,149.99,0.18,0.06,15,4.1,26.394429775117818,2024,3,1,False,26.394429775117818,Media,Pequeña,Martes,0.3037886245401602,Riesgo,Medio,Insatisfecho
8,2,99.92724838319327,3,2024-05-29,Hogar y Jardín,5,0.3,HomeMax,149.99,0.18,0.06,15,4.1,29.97817451495798,2024,2,2,False,29.97817451495798,Media,Pequeña,Miércoles,0.3462626061419681,Riesgo,Medio,Insatisfecho
9,2,24.80033441615021,2,2024-08-25,Ropa y Accesorios,8,0.4,Proveedor_Desconocido,89.99,0.22,0.12,12,4.5,9.920133766460085,2024,3,6,True,9.920133766460085,Baja,Micro,Domingo,0.0791448792991428,Riesgo,Medio,Insatisfecho
10,3,49.13942269199115,1,2024-05-27,Electrónicos,5,0.25,TechCorp,299.99,0.15,0.08,8,4.2,12.284855672997788,2024,2,0,False,12.284855672997788,Baja,Micro,Lunes,0.1656837984476326,Bajo_Valor,Medio,Insatisfecho
11,3,141.4026997922613,3,2024-04-12,Hogar y Jardín,4,0.3,HomeMax,149.99,0.18,0.06,15,4.1,42.42080993767839,2024,2,4,False,42.42080993767839,Media,Pequeña,Viernes,0.4937307732096371,Bajo_Valor,Medio,Insatisfecho
12,3,77.03344651189515,4,2024-06-23,Deportes,6,0.35,SportPro,119.99,0.12,0.15,10,4.3,26.9617062791633,2024,2,6,True,26.9617062791633,Media,Pequeña,Domingo,0.2648624794532307,Bajo_Valor,Medio,Insatisfecho
13,3,79.74413634696485,1,2024-08-23,Electrónicos,8,0.25,TechCorp,299.99,0.15,0.08,8,4.2,19.936034086741213,2024,3,4,False,19.936034086741213,Baja,Pequeña,Viernes,0.2745004809188229,Bajo_Valor,Medio,Insatisfecho
14,4,65.18441586590488,2,2024-02-03,Ropa y Accesorios,2,0.4,FashionWorld,89.99,0.22,0.12,12,4.5,26.07376634636196,2024,1,5,True,26.073766346361957,Media,Pequeña,Sábado,0.2227326225974525,Riesgo,Bajo,Insatisfecho
15,4,17.91172614925868,1,2024-06-20,Electrónicos,6,0.25,TechCorp,299.99,0.15,0.08,8,4.2,4.47793153731467,2024,2,3,False,4.47793153731467,Baja,Micro,Jueves,0.0546520672801376,Riesgo,Bajo,Insatisfecho
16,4,45.060613254817405,1,2024-01-06,Electrónicos,1,0.25,TechCorp,299.99,0.15,0.08,8,4.2,11.265153313704351,2024,1,5,True,11.265153313704351,Baja,Micro,Sábado,0.1511813751807743,Riesgo,Bajo,Insatisfecho
17,4,84.93842815359552,3,2024-10-11,Hogar y Jardín,10,0.3,HomeMax,149.99,0.18,0.06,15,4.1,25.481528446078656,2024,4,4,False,25.481528446078656,Media,Pequeña,Viernes,0.2929690609080683,Riesgo,Bajo,Insatisfecho
18,4,49.88747100087858,2,2024-08-12,Ropa y Accesorios,8,0.4,FashionWorld,89.99,0.22,0.12,12,4.5,19.954988400351432,2024,3,0,False,19.954988400351432,Baja,Micro,Lunes,0.1683435238814004,Riesgo,Bajo,Insatisfecho
19,4,33.14710720535886,1,2024-02-22,Electrónicos,2,0.25,TechCorp,299.99,0.15,0.08,8,4.2,8.286776801339714,2024,1,3,False,8.286776801339714,Baja,Micro,Jueves,0.1088222726086169,Riesgo,Bajo,Insatisfecho
20,4,36.24877115331526,2,2024-09-13,Ropa y Accesorios,9,0.4,FashionWorld,89.99,0.22,0.12,12,4.5,14.499508461326103,2024,3,4,False,14.499508461326103,Baja,Micro,Viernes,0.1198504032672503,Riesgo,Bajo,Insatisfecho
21,5,143.02780674001485,5,2024-02-28,Libros y Medios,2,0.45,BookHub,24.99,0.08,-0.03,25,4.7,64.36251303300669,2024,1,2,False,64.36251303300669,Media,Pequeña,Miércoles,0.4995089271472638,Riesgo,Medio,Insatisfecho
